phys	rec
0.45	1.38869891980156
0.55	1.38749786037665
0.65	1.37758204466113
0.75	1.36509119769553
0.85	1.35301214778577
0.95	1.3409012068003
1.05	1.32733859553846
1.15	1.31477984942523
1.25	1.30185012294116
1.35	1.28959982396776
1.45	1.27691797544593
1.55	1.26300283854786
1.65	1.24698529397915
1.75	1.22800219849827
1.85	1.20174930364537
1.95	1.18190209533092
2.05	1.15914295407759
2.15	1.14635123873017
2.25	1.14408936790555
2.35	1.15235734160372
2.45	1.17115515982471
2.55	1.20048282256849
2.65	1.24002305528911
2.75	1.27895973848379
2.85	1.30579969684034
2.95	1.33435602352806
3.05	1.35500873187421
3.15	1.3643970528455
3.25	1.36820198521814
3.35	1.3518228713193
3.45	1.33939058731943
3.55	1.31896446347992
3.65	1.28717165103097
3.75	1.22661231803376
3.85	1.18887593531521
3.95	1.17236359387401
4.05	1.13773324226317
4.15	1.07637981935313
4.25	1.06378052611015
4.35	1.12510548961757
4.45	1.24431512902382
4.55	1.33242116461932
4.65	1.44496551039342
4.75	1.61742002366139
4.85	1.78961174463634
4.95	2.00562242132955
5.05	2.23980504100495
5.15	2.47822241814271
5.25	2.6627358620252
5.35	2.86886183293424
5.45	3.01817965467021
5.55	2.97308998481717
5.65	2.9376313168363
5.75	2.82826370105584
5.85	2.64452038533991
5.95	2.41836891857753
6.05	2.18272805775229
6.15	1.94899653467807
6.25	1.74674899331161
6.35	1.55728283024885
6.45	1.48179576733697
6.55	1.53081019373182
6.65	1.67603837810744
6.75	1.74608029429717
6.85	1.80580055526917
6.95	1.89778133095553
7.05	2.0100591782478
7.15	2.10411683127283
7.25	2.25608790091925
7.35	2.53535710922073
7.45	2.86762025046912
7.55	3.28490092947151
7.65	3.67606702404981
7.75	4.04865708350965
7.85	4.34586899636565
7.95	4.55980477259271
8.05	4.72970199724912
8.15	4.93893403692913
8.25	5.1769441566062
8.35	5.47528335532995
8.45	5.76953094865253
8.55	6.06438494948654
8.65	6.37189851481155
8.75	6.6392282082054
8.85	6.81288472625434
8.95	7.01721185041035
9.05	7.24022765640713
9.15	7.53890394245226
9.25	8.02674834024587
9.35	8.54173093060043
9.45	9.05323366345923
9.55	9.54472769934263
9.65	9.86965621245527
9.75	9.91507144335695
9.85	9.8674936765395
9.95	9.66104996539634
10.05	9.26244910665693
10.15	8.66105996484597
10.25	7.84959310768624
10.35	7.09280918594067
10.45	6.28330095088327
10.55	5.52354104706439
10.65	4.84191055348046
10.75	4.22278232026504
10.85	3.56242242441287
10.95	3.11281335014293
11.05	2.81381253753838
11.15	2.56959594518135
11.25	2.38921802333091
11.35	2.57991363550632
11.45	2.83604430776515
11.55	3.1064468481881
11.65	3.42845181320061
11.75	3.84587673969275
11.85	4.27410125644577
11.95	4.58275419982708
12.05	4.8173474740351
12.15	5.071303709031
12.25	5.27100134980975
12.35	5.16360357106764
12.45	4.99602337169602
12.55	4.67022355534261
12.65	4.37013973906715
12.75	4.08895421621097
12.85	3.75546210232235
12.95	3.47204807055534
13.05	3.22284371315078
13.15	3.01693682789449
13.25	2.85473265943272
13.35	2.72797287818202
13.45	2.59926279041705
13.55	2.48241966358935
13.65	2.39028418101016
13.75	2.28196463438339
13.85	2.16384777164247
13.95	2.05345698076232
14.05	1.93799364368171
14.15	1.82006538464691
14.25	1.69857513860159
14.35	1.5792086367909
14.45	1.45975989760566
14.55	1.3394647146852
14.65	1.20415941567646
14.75	1.07187407153027
14.85	0.945803436130422
15.049999	0.84241625874577
