BioSample	LibraryName	Run	Organism	BioProject	refGenome
SAMEA2784250	SAMEA2784250	ERR636107	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMEA2784251	SAMEA2784251	ERR636108	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMEA2784252	SAMEA2784252	ERR636109	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMEA2784253	SAMEA2784253	ERR636110	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMEA2784254	SAMEA2784254	ERR636111	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMEA2784255	SAMEA2784255	ERR636112	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMEA2784256	SAMEA2784256	ERR636113	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMEA2784257	SAMEA2784257	ERR636114	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMEA2784258	SAMEA2784258	ERR636115	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMEA2784259	SAMEA2784259	ERR636116	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMEA2784260	SAMEA2784260	ERR636117	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMEA2784261	SAMEA2784261	ERR636118	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMEA2784262	SAMEA2784262	ERR636119	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMEA2784263	SAMEA2784263	ERR636120	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMEA2784264	SAMEA2784264	ERR636121	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMEA2784265	SAMEA2784265	ERR636122	Capsella orientalis	PRJEB6689	GCA_000375325.1
SAMN03351899	95O_dna	SRR2065329	Capsella grandiflora	PRJNA275635	GCA_000375325.1
SAMN03351916	113A_dna	SRR2065186	Capsella grandiflora	PRJNA275635	GCA_000375325.1
SAMN03775705	119M_dna	SRR2070889	Capsella grandiflora	PRJNA275635	GCA_000375325.1
SAMN03775719	3_dna	SRR2070909	Capsella grandiflora	PRJNA275635	GCA_000375325.1
